iter	Passed	Remaining
0	10	4208
1	18	3831
2	29	4050
3	33	3374
4	39	3206
5	44	2999
6	48	2803
7	52	2657
8	55	2495
9	59	2401
10	64	2341
11	67	2250
12	71	2190
13	76	2157
14	80	2114
15	83	2064
16	86	2016
17	91	1996
18	95	1962
19	98	1928
20	102	1908
21	106	1878
22	109	1846
23	113	1823
24	116	1802
25	120	1786
26	124	1763
27	127	1749
28	131	1731
29	135	1716
30	138	1702
31	142	1690
32	146	1679
33	150	1663
34	153	1651
35	158	1647
36	162	1640
37	165	1628
38	169	1619
39	173	1608
40	177	1605
41	182	1601
42	186	1598
43	190	1590
44	194	1582
45	198	1577
46	203	1575
47	207	1568
48	210	1558
49	214	1552
50	218	1545
51	223	1540
52	227	1533
53	230	1525
54	234	1519
55	238	1513
56	242	1503
57	246	1499
58	251	1498
59	254	1489
60	257	1477
61	261	1469
62	264	1462
63	268	1457
64	272	1450
65	276	1444
66	280	1438
67	284	1434
68	287	1427
69	291	1421
70	296	1418
71	299	1410
72	303	1407
73	308	1405
74	312	1399
75	316	1395
76	320	1392
77	324	1385
78	328	1379
79	332	1376
80	336	1371
81	340	1367
82	344	1362
83	347	1354
84	351	1349
85	355	1343
86	359	1340
87	363	1334
88	367	1329
89	371	1325
90	375	1321
91	379	1316
92	384	1313
93	388	1310
94	392	1306
95	397	1303
96	401	1299
97	404	1292
98	408	1288
99	412	1283
100	416	1278
101	420	1274
102	425	1271
103	429	1267
104	433	1262
105	436	1257
106	441	1253
107	444	1247
108	449	1244
109	453	1241
110	457	1236
111	461	1232
112	465	1226
113	468	1221
114	472	1217
115	476	1211
116	481	1208
117	484	1203
118	488	1198
119	492	1194
120	496	1189
121	500	1184
122	504	1180
123	507	1174
124	511	1170
125	515	1165
126	518	1160
127	522	1154
128	526	1150
129	530	1146
130	534	1141
131	538	1137
132	541	1132
133	545	1128
134	549	1124
135	554	1120
136	558	1116
137	561	1111
138	565	1106
139	569	1101
140	572	1096
141	576	1091
142	579	1086
143	583	1081
144	587	1077
145	590	1072
146	595	1069
147	599	1065
148	604	1062
149	608	1058
150	612	1054
151	615	1048
152	620	1045
153	624	1041
154	628	1037
155	631	1032
156	635	1028
157	640	1025
158	644	1021
159	648	1016
160	652	1013
161	656	1008
162	660	1004
163	663	1000
164	667	995
165	671	991
166	675	987
167	680	984
168	685	981
169	689	976
170	693	972
171	696	968
172	700	963
173	704	959
174	708	955
175	712	950
176	716	947
177	721	943
178	726	941
179	730	937
180	734	933
181	738	929
182	742	925
183	746	921
184	750	916
185	754	912
186	758	908
187	762	904
188	766	900
189	770	896
190	774	891
191	778	887
192	782	884
193	786	879
194	791	876
195	795	872
196	800	869
197	804	865
198	808	861
199	812	856
200	817	853
201	821	849
202	825	845
203	829	841
204	833	837
205	837	833
206	841	829
207	844	824
208	848	820
209	853	816
210	858	813
211	862	809
212	865	804
213	869	800
214	873	796
215	877	792
216	881	788
217	885	784
218	889	779
219	893	775
220	898	772
221	902	767
222	906	764
223	910	759
224	914	755
225	918	751
226	922	747
227	927	744
228	931	739
229	934	735
230	938	731
231	941	726
232	945	722
233	950	718
234	954	715
235	958	710
236	962	706
237	967	702
238	971	698
239	975	694
240	978	690
241	982	685
242	985	681
243	990	677
244	993	673
245	998	669
246	1002	665
247	1006	661
248	1010	657
249	1014	653
250	1018	649
251	1022	644
252	1026	640
253	1030	636
254	1033	632
255	1037	628
256	1041	624
257	1045	620
258	1049	616
259	1054	612
260	1058	608
261	1062	604
262	1066	600
263	1070	596
264	1074	591
265	1078	587
266	1082	583
267	1086	579
268	1090	575
269	1094	571
270	1099	567
271	1103	563
272	1107	559
273	1111	555
274	1115	551
275	1119	547
276	1124	543
277	1128	539
278	1132	535
279	1135	531
280	1139	527
281	1144	523
282	1148	519
283	1153	515
284	1158	512
285	1162	507
286	1166	504
287	1170	499
288	1174	495
289	1178	491
290	1182	487
291	1187	483
292	1190	479
293	1194	475
294	1198	471
295	1202	467
296	1208	464
297	1213	460
298	1216	455
299	1220	451
300	1224	447
301	1229	443
302	1234	439
303	1238	435
304	1242	431
305	1246	427
306	1250	423
307	1253	419
308	1257	415
309	1261	410
310	1264	406
311	1268	402
312	1272	398
313	1276	394
314	1280	390
315	1284	386
316	1288	382
317	1293	378
318	1297	374
319	1301	370
320	1305	365
321	1309	361
322	1312	357
323	1316	353
324	1320	349
325	1324	345
326	1328	341
327	1332	337
328	1337	333
329	1340	329
330	1344	325
331	1348	320
332	1352	316
333	1356	312
334	1360	308
335	1364	304
336	1368	300
337	1372	296
338	1376	292
339	1381	288
340	1386	284
341	1390	280
342	1394	276
343	1399	272
344	1404	268
345	1408	264
346	1412	260
347	1416	256
348	1420	252
349	1424	248
350	1429	244
351	1432	240
352	1437	236
353	1441	232
354	1445	228
355	1449	223
356	1453	219
357	1457	215
358	1460	211
359	1464	207
360	1469	203
361	1473	199
362	1476	195
363	1481	191
364	1485	187
365	1488	183
366	1492	178
367	1496	174
368	1502	170
369	1505	166
370	1509	162
371	1513	158
372	1518	154
373	1522	150
374	1527	146
375	1530	142
376	1535	138
377	1538	134
378	1542	130
379	1546	126
380	1550	122
381	1554	118
382	1558	113
383	1562	109
384	1566	105
385	1569	101
386	1574	97
387	1578	93
388	1583	89
389	1587	85
390	1591	81
391	1595	77
392	1599	73
393	1603	69
394	1608	65
395	1612	61
396	1616	57
397	1621	52
398	1625	48
399	1630	44
400	1634	40
401	1638	36
402	1642	32
403	1648	28
404	1651	24
405	1658	20
406	1662	16
407	1666	12
408	1670	8
409	1674	4
410	1678	0
